lhs,rhs
brownies,cottage cheese
chicken,light cream
escalope,mushroom cream sauce
escalope,pasta
fresh bread,tomato juice
fresh tuna,honey
fromage blanc,honey
ground beef,herb & pepper
ground beef,tomato sauce
light cream,olive oil
olive oil,whole wheat pasta
pasta,shrimp
milk,"avocado, spaghetti"
burgers,"milk, cake"
burgers,"chocolate, turkey"
burgers,"milk, turkey"
frozen vegetables,"tomatoes, cake"
cereals,"spaghetti, ground beef"
milk,"chicken, ground beef"
chicken,"milk, olive oil"
chicken,"milk, pancakes"
olive oil,"chicken, spaghetti"
frozen vegetables,"chocolate, shrimp"
ground beef,"herb & pepper, chocolate"
milk,"chocolate, soup"
ground beef,"spaghetti, cooking oil"
ground beef,"herb & pepper, eggs"
red wine,"spaghetti, eggs"
ground beef,"french fries, herb & pepper"
tomatoes,"green tea, frozen vegetables"
ground beef,"spaghetti, frozen vegetables"
milk,"frozen vegetables, olive oil"
milk,"soup, frozen vegetables"
frozen vegetables,"tomatoes, milk"
frozen vegetables,"shrimp, mineral water"
olive oil,"spaghetti, frozen vegetables"
shrimp,"spaghetti, frozen vegetables"
frozen vegetables,"tomatoes, shrimp"
frozen vegetables,"tomatoes, spaghetti"
ground beef,"grated cheese, spaghetti"
grated cheese,"herb & pepper, spaghetti"
tomatoes,"green tea, ground beef"
ground beef,"herb & pepper, milk"
ground beef,"herb & pepper, mineral water"
ground beef,"herb & pepper, spaghetti"
olive oil,"milk, ground beef"
milk,"ground beef, soup"
ground beef,"spaghetti, pepper"
spaghetti,"shrimp, ground beef"
ground beef,"tomato sauce, spaghetti"
light cream,"spaghetti, mineral water"
soup,"milk, mineral water"
milk,"shrimp, olive oil"
milk,"soup, olive oil"
olive oil,"spaghetti, milk"
milk,"tomatoes, soup"
milk,"spaghetti, whole wheat pasta"
olive oil,"soup, mineral water"
olive oil,"whole wheat pasta, mineral water"
soup,"tomatoes, mineral water"
olive oil,"spaghetti, pancakes"
olive oil,"tomatoes, spaghetti"
tomatoes,"spaghetti, whole wheat rice"
ground beef,"chocolate, eggs, mineral water"
chocolate,"ground beef, spaghetti, eggs"
frozen vegetables,"chocolate, ground beef, mineral water"
frozen vegetables,"chocolate, ground beef, spaghetti"
milk,"chocolate, frozen vegetables, mineral water"
frozen vegetables,"chocolate, milk, spaghetti"
frozen vegetables,"chocolate, mineral water, shrimp"
chocolate,"frozen vegetables, spaghetti, mineral water"
chocolate,"ground beef, milk, mineral water"
olive oil,"chocolate, spaghetti, mineral water"
chocolate,"pancakes, spaghetti, mineral water"
shrimp,"chocolate, spaghetti, mineral water"
milk,"frozen vegetables, eggs, mineral water"
ground beef,"eggs, milk, mineral water"
ground beef,"eggs, spaghetti, mineral water"
frozen smoothie,"spaghetti, milk, mineral water"
frozen vegetables,"milk, ground beef, mineral water"
frozen vegetables,"spaghetti, milk, ground beef"
ground beef,"spaghetti, frozen vegetables, mineral water"
frozen vegetables,"milk, mineral water, olive oil"
frozen vegetables,"milk, soup, mineral water"
frozen vegetables,"spaghetti, milk, mineral water"
frozen vegetables,"shrimp, spaghetti, mineral water"
frozen vegetables,"tomatoes, spaghetti, mineral water"
milk,"ground beef, spaghetti, mineral water"
ground beef,"spaghetti, mineral water, olive oil"
ground beef,"pancakes, spaghetti, mineral water"
ground beef,"tomatoes, spaghetti, mineral water"
olive oil,"spaghetti, milk, mineral water"
milk,"mineral water, shrimp, spaghetti"
tomatoes,"spaghetti, milk, mineral water"
