lhs,rhs
brownies,cottage cheese
chicken,light cream
escalope,mushroom cream sauce
escalope,pasta
fresh bread,tomato juice
fresh tuna,honey
fromage blanc,honey
ground beef,herb & pepper
ground beef,tomato sauce
light cream,olive oil
olive oil,whole wheat pasta
pasta,shrimp
milk,"avocado, spaghetti"
burgers,"cake, milk"
burgers,"chocolate, turkey"
burgers,"milk, turkey"
frozen vegetables,"cake, tomatoes"
cereals,"ground beef, spaghetti"
milk,"ground beef, chicken"
chicken,"olive oil, milk"
chicken,"milk, pancakes"
olive oil,"spaghetti, chicken"
frozen vegetables,"chocolate, shrimp"
ground beef,"chocolate, herb & pepper"
milk,"chocolate, soup"
ground beef,"cooking oil, spaghetti"
ground beef,"herb & pepper, eggs"
red wine,"eggs, spaghetti"
ground beef,"french fries, herb & pepper"
tomatoes,"frozen vegetables, green tea"
ground beef,"frozen vegetables, spaghetti"
milk,"frozen vegetables, olive oil"
milk,"frozen vegetables, soup"
frozen vegetables,"tomatoes, milk"
frozen vegetables,"shrimp, mineral water"
olive oil,"frozen vegetables, spaghetti"
shrimp,"frozen vegetables, spaghetti"
frozen vegetables,"tomatoes, shrimp"
frozen vegetables,"tomatoes, spaghetti"
ground beef,"grated cheese, spaghetti"
grated cheese,"herb & pepper, spaghetti"
tomatoes,"ground beef, green tea"
ground beef,"milk, herb & pepper"
ground beef,"herb & pepper, mineral water"
ground beef,"herb & pepper, spaghetti"
olive oil,"ground beef, milk"
milk,"ground beef, soup"
ground beef,"spaghetti, pepper"
spaghetti,"ground beef, shrimp"
ground beef,"tomato sauce, spaghetti"
light cream,"spaghetti, mineral water"
soup,"milk, mineral water"
milk,"olive oil, shrimp"
milk,"olive oil, soup"
olive oil,"milk, spaghetti"
milk,"tomatoes, soup"
milk,"spaghetti, whole wheat pasta"
olive oil,"soup, mineral water"
olive oil,"mineral water, whole wheat pasta"
soup,"tomatoes, mineral water"
olive oil,"pancakes, spaghetti"
olive oil,"tomatoes, spaghetti"
tomatoes,"spaghetti, whole wheat rice"
ground beef,"chocolate, eggs, mineral water"
ground beef,"chocolate, eggs, spaghetti"
frozen vegetables,"ground beef, chocolate, mineral water"
frozen vegetables,"ground beef, chocolate, spaghetti"
milk,"frozen vegetables, chocolate, mineral water"
frozen vegetables,"chocolate, milk, spaghetti"
frozen vegetables,"chocolate, mineral water, shrimp"
frozen vegetables,"chocolate, spaghetti, mineral water"
ground beef,"chocolate, milk, mineral water"
olive oil,"chocolate, spaghetti, mineral water"
chocolate,"pancakes, spaghetti, mineral water"
shrimp,"chocolate, spaghetti, mineral water"
milk,"frozen vegetables, eggs, mineral water"
ground beef,"eggs, milk, mineral water"
ground beef,"eggs, spaghetti, mineral water"
frozen smoothie,"milk, spaghetti, mineral water"
frozen vegetables,"ground beef, milk, mineral water"
frozen vegetables,"ground beef, milk, spaghetti"
ground beef,"frozen vegetables, spaghetti, mineral water"
frozen vegetables,"olive oil, milk, mineral water"
frozen vegetables,"milk, soup, mineral water"
frozen vegetables,"milk, spaghetti, mineral water"
frozen vegetables,"shrimp, spaghetti, mineral water"
frozen vegetables,"tomatoes, spaghetti, mineral water"
ground beef,"milk, spaghetti, mineral water"
ground beef,"olive oil, spaghetti, mineral water"
ground beef,"pancakes, spaghetti, mineral water"
ground beef,"tomatoes, spaghetti, mineral water"
olive oil,"milk, spaghetti, mineral water"
milk,"mineral water, shrimp, spaghetti"
tomatoes,"milk, spaghetti, mineral water"
